@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
61,13,15,15,5,?
32,11,18,18,5,?
53,12,14,16,5,?
28,13,17,21,2,15
38,11,13,18,2,19
28,9,12,17,4,?
47,15,21,22,4,?
47,9,10,14,5,?
22,12,18,0,3,18
36,13,15,20,1,29
27,18,18,22,5,?
47,12,12,19,2,12
53,7,8,13,5,?
30,7,13,13,2,1
34,4,18,19,2,1
55,17,17,18,4,?
46,13,19,20,4,?
50,0,19,19,4,?
26,12,15,16,2,15
47,8,14,20,4,?
27,13,0,0,6,26
57,11,20,26,4,?
26,8,18,0,4,?
38,10,17,17,3,15
51,14,15,24,4,?
55,15,16,18,5,?
51,11,14,24,5,?
48,15,17,20,4,?
46,14,27,27,5,?
48,15,17,20,4,?
32,12,16,20,4,?
15,8,5,0,3,12
33,7,29,32,2,7
25,9,9,15,3,19
33,10,12,17,2,1
40,9,16,17,1,12
34,9,12,21,3,14
42,9,15,15,2,8
55,12,14,16,5,?
64,7,18,23,5,?
33,12,15,17,3,17
47,9,13,13,3,1
23,5,15,20,3,21
27,8,18,0,1,1
62,8,13,14,5,?
25,12,14,20,3,23
42,12,22,22,2,4
60,15,17,18,5,?
59,15,15,16,5,?
26,8,16,18,1,12
22,7,0,0,6,13
28,12,17,18,1,17
35,9,15,18,2,14
56,10,18,23,5,?
52,10,16,18,5,?
41,10,10,19,5,?
17,12,13,14,6,1
42,11,13,21,5,?
54,11,20,20,5,?
50,13,18,23,4,?
35,7,17,19,5,?
37,12,13,20,5,?
55,9,11,24,5,?
43,14,18,22,4,?
30,15,15,15,1,20
49,6,12,12,5,?
57,6,16,20,5,?
48,17,21,21,4,?
28,12,0,0,4,?
48,14,15,15,4,?
37,18,18,18,5,?
45,13,15,18,4,?
48,10,14,20,5,?
63,10,13,18,5,?
31,14,14,15,4,?
40,12,17,21,4,?
40,15,18,18,2,15
59,12,15,18,4,?
40,9,10,12,2,10
39,14,22,22,4,?
34,12,19,20,4,?
43,18,18,21,4,?
54,8,14,14,5,?
40,12,15,23,4,?
35,10,16,20,5,?
33,12,23,23,4,?
46,9,13,29,4,?
39,10,15,17,4,?
45,12,16,18,5,?
58,15,16,21,4,?
43,14,16,18,4,?
24,11,13,17,5,?
46,9,20,28,4,?
31,5,20,20,3,6
52,18,19,19,4,?
27,0,13,21,4,?
36,12,14,19,4,?
36,11,15,19,5,?
60,13,14,30,4,?
53,13,15,21,4,?
30,12,12,17,5,?
53,11,11,28,4,?
25,12,15,19,4,?
45,8,18,18,5,?
53,17,17,18,4,?
53,15,16,18,5,?
47,11,13,18,4,?
55,12,15,18,5,?
64,12,16,18,4,?
