@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
0.61194,0.2,0.230769,0.131313,0.8,?
0.164179,0.28,0.365385,0.212121,0.6,?
0.402985,0.2,0.307692,0.161616,0,10
0.447761,0.2,0.288462,0.161616,0.8,?
0.268657,0.24,0.230769,0.181818,0.8,?
0.671642,0.28,0.326923,0.181818,0.6,?
0.641791,0.22,0.288462,0.20202,0.8,?
0.656716,0.3,0.326923,0.20202,0.8,?
0.462687,0.1,0.115385,0.111111,0.2,5
0.223881,0.24,0.25,0.181818,0.8,?
0.313433,0.32,0.326923,0.191919,0.6,?
0.373134,0.28,0.384615,0.30303,0.6,?
0.656716,0.26,0.288462,0.272727,0.8,?
0.38806,0.2,0.288462,0.181818,0.6,?
0.38806,0.22,0.269231,0.191919,0.6,?
0.58209,0.22,0.307692,0.191919,0.6,?
0.597015,0.24,0.365385,0.20202,0.6,?
0.343284,0.32,0.307692,0.171717,0.2,18
0.522388,0.24,0.346154,0.181818,0.6,?
0.179104,0.16,0.423077,0.222222,0.4,16
0.552239,0.28,0.326923,0.181818,0.8,?
0.58209,0.28,0.288462,0.262626,0.6,?
0.656716,0.2,0.288462,0.252525,0.6,?
0.089552,0.2,0.326923,0.181818,0.2,11
0.716418,0.28,0.346154,0.30303,0.6,?
0.701493,0.24,0.25,0.171717,0.8,?
0.597015,0.24,0.288462,0.151515,0.8,?
0.80597,0.3,0.326923,0.171717,0.8,?
0.507463,0.2,0.326923,0.20202,0.6,?
0.41791,0.22,0.230769,0.161616,0.8,?
0.149254,0.12,0.230769,0.141414,0.8,?
0.58209,0.18,0.25,0.212121,0.6,?
0.328358,0.24,0.461538,0.242424,0.8,?
0.328358,0.24,0.346154,0.191919,0.6,?
0.373134,0.2,0.230769,0.181818,0.4,36
0.552239,0.24,0.346154,0.20202,0.6,?
0.61194,0.3,0.326923,0.171717,0.6,?
0.58209,0.3,0.423077,0.282828,0.6,?
0.552239,0.14,0.423077,0.181818,0.8,?
0.208955,0.36,0.346154,0.20202,0.6,?
0.104478,0.14,0.192308,0.171717,0.8,?
0.268657,0.16,0.192308,0.070707,0.6,?
0.328358,0.18,0.230769,0.181818,0.8,?
0.701493,0,0,0.252525,0.8,?
0.567164,0.26,0.307692,0.292929,0.6,?
0.268657,0.24,0.365385,0.191919,0.2,12
0.507463,0.26,0.326923,0.262626,0.6,?
0.58209,0.24,0.25,0.20202,0.6,?
0.522388,0.1,0.288462,0.151515,0.8,?
0.373134,0.28,0.307692,0.171717,0.6,?
0.402985,0.22,0.192308,0.151515,0.6,?
0.358209,0.28,0.307692,0.181818,0.6,?
0.164179,0.16,0.288462,0.161616,0.2,1
0.626866,0.14,0.230769,0.171717,0.8,?
0.492537,0,0.442308,0.242424,0.6,?
0.179104,0.14,0.25,0.212121,0.4,1
0.58209,0.24,0.307692,0.181818,0.8,?
0.58209,0.26,0.423077,0.232323,0.6,?
0.104478,0.38,0.365385,0,0.2,18
0.447761,0.24,0.461538,0.343434,1,36
0.701493,0.34,0.384615,0.242424,0.8,?
0.671642,0.24,0.269231,0.272727,0.8,?
0.776119,0.28,0.326923,0.20202,0.8,?
0.268657,0.24,0.25,0.191919,0.6,?
0.552239,0.24,0.230769,0.131313,0.8,?
0.507463,0.24,0.288462,0.151515,0.8,?
0.597015,0.2,0.423077,0.353535,0.6,?
0.492537,0.28,0.288462,0.181818,0.6,?
0.447761,0.24,0.269231,0.171717,0.6,?
0.537313,0.2,0.480769,0.252525,0.6,?
0.089552,0,0.326923,0,0.4,20
0.716418,0.22,0.230769,0.181818,0.6,?
0.38806,0.22,0.25,0,0.6,?
0.447761,0.22,0.288462,0.181818,0.6,?
0.477612,0.2,0.211538,0.191919,0.6,?
0.597015,0.22,0.346154,0.242424,0.6,?
0.19403,0.1,0.288462,0.191919,0.4,20
0.238806,0.3,0.346154,0.191919,0.6,?
0.552239,0.36,0.346154,0.222222,0.6,?
0.701493,0.34,0.346154,0.181818,0.6,?
0.641791,0.22,0.384615,0.232323,0.6,?
0.223881,0.24,0.326923,0.151515,0.2,1
0.149254,0.16,0.288462,0.191919,0.8,?
0.149254,0.22,0.307692,0.222222,0.6,?
0.402985,0.22,0.519231,0.272727,0.6,?
0.373134,0.28,0.326923,0.191919,0.6,?
0.477612,0.26,0.5,0.363636,0.8,?
0.522388,0.2,0.192308,0.10101,0.4,27
0.552239,0.3,0.5,0.323232,0.8,?
0.134328,0.22,0.384615,0.20202,0,15
0.447761,0.26,0.288462,0.20202,0.6,?
0.462687,0.16,0.153846,0.111111,0.8,?
0.731343,0.34,0.326923,0.181818,0.8,?
0.41791,0.36,0.365385,0.191919,0.6,?
0.626866,0.24,0.326923,0.171717,0.6,?
0.597015,0.22,0.326923,0.222222,0.8,?
0.358209,0.22,0.269231,0.181818,0.6,?
0.477612,0.12,0.519231,0.272727,0.6,?
0.58209,0.24,0.365385,0.252525,0.8,?
0.447761,0.28,0.365385,0.222222,0.8,?
0.552239,0.26,0.326923,0.252525,0.6,?
0.701493,0.26,0.288462,0.222222,0.6,?
0.552239,0.2,0.384615,0.323232,0.6,?
0.164179,0.26,0.326923,0.181818,0.2,16
0.671642,0.16,0.25,0.20202,0.8,?
0.328358,0.16,0.269231,0.212121,0.2,13
0.283582,0.18,0.25,0.151515,0.8,?
0.58209,0.12,0.230769,0.171717,0.8,?
